DOI,Title,Authors,Journal,Year,Abstract,LitmapsId,Cited By,References,PubMedId,Tags
10.1007/978-3-031-66431-1_8,Factors Influencing Organizational Adoption of Artificial Intelligence and Corporate Social Responsibility in a Solar System World,"Didier Van Caillie, May Merhej Sayegh, Dina Sidani",Lecture notes in networks and systems,2024,(missing abstract),275534307,0,66,,
10.1002/9781394383658.ch6,The Resurgence of Predictive Models of ESG Technology Strives for a Sustainable Paradigm,"Sonali Srivastava, Manisha Singh, Anubha Vashisht",(missing journal),2025,"India has been demonstrating a similar interest in sustainable practices by becoming the first country in the world to undertake exclusive climate change programs to innovate affordable, clean technologies that reduce the environmental footprints of products from the design to the disposal stages. Many scientific and academic communities are immersed in developing the required technologies to transform society, industry, and government for a sustainable future. In fact, e-waste, e-resources, and the circular economy have assumed significant proportions in the sustainability arena today. The present chapter includes the corporate governance technology where the relevance of predictive models of ESG technological intervention and compliance is the resource generation and distribution in the precursor of SRI and ESG technology. ESG factors encompass those facts, situations, and occurrences of economic value that determine corporate returns, and these influences can manifest themselves in the form of risks and opportunities that result in benefits and costs. The predictive models beget an analysis that informs companies' overall governance strategy and the elements that drag the firm's long-term ESG. These insights, in effect, can also guide the investment components that concern ESG governance. Creating efficient predictive models may be a potential challenge due to the difficulty of obtaining quality data. The contemporary Indian approach to sustainability is informed by existing and ongoing regulatory standards, sustainability reporting and disclosure frameworks, sustainable development goals, and corporate social responsibility.",291438131,0,72,,
10.1007/s10479-024-05859-z,Value creation and sustainable business model: are ESG ratings a matter of class?,"Rosella Castellano, Francesca Cini, Annalisa Ferrari",Annals of Operations Research,2024,(missing abstract),270458435,6,39,,
10.1080/20430795.2022.2057405,The role of artificial intelligence in sustainable finance,"Abdalmuttaleb M. A. Musleh Al-Sartawi, Khaled Hussainey, Anjum Razzaque",Journal of Sustainable Finance &amp; Investment,2022,(missing abstract),154682016,211,19,,
10.1108/jefas-02-2024-0040,ESG and financial performance via uncertain mining technology: do Multilatinas contribute to the sustainability of the region?,"Carlos Alexander Grajales, Katherine Albanés Uribe",Journal of Economics Finance and Administrative Science,2024,"PurposeThis paper proposes a methodology based on an uncertain mining technology that identifies the linguistic relationships of ESG and its components with a financial performance metric to help the sustainability diagnosis of a region, specifically Latin America.Design/methodology/approachFirst, based on a relevant dataset of companies in a region, a procedure is formulated whereby an uncertain mining technology extracts the mathematically significant linguistic relationships of ESG and its components with a financial performance metric. Second, a knowledge management process is designed based on the linguistic summaries obtained from the mining process. As a final step and drawing upon the two preceding processes, a diagrammatic system of signals is proposed for diagnosing the sustainability of the region as contributed by its companies.FindingsAfter this methodology is instantiated on a group of Multilatinas, it is observed that their sustainability contributions to the region are limited and that none of the identified linguistic relationships between ESG and the financial performance metric are favorable for the region.Originality/valueThis is the first proposal of its kind and it can be applied to any region of the world to assess the financial performance of its companies regarding their ESG commitments. In addition, it enables the region to comprehensively monitor compliance with the 2030 SDG agenda.",273899066,4,25,,
10.54692/amr.2024.117,The Impact of ESG-Based Sustainable Finance Measuring on Individual Investors' Investment Decisions on the Pakistan Stock Exchange (PSX),Mazhar Farid,Annals of Management Review,2024,"ESG concerns have become increasingly important in Pakistan Stock Exchange (PSX) investor selections. This study examines how sustainable finance, particularly the environmental, social, and governance (ESG) factors, affect PSX investor decisions. ESG aspects include a company's environmental effect, social responsibility, and corporate governance. The study explores how these elements affect investors' perceptions of a company's long-term survival, risk profile, and growth potential. It also examines how Green Innovation affects investment decisions, acknowledging the importance of corporations promoting eco-friendly practices and technologies in a changing global economy. This research affects investors and policymakers. Knowing the importance of ESG elements and Green Innovation can help individual investors make more sustainable and ethical investments. ESG-compliant enterprises that promote green innovation may boost financial returns and improve society and the environment. These insights can help policymakers create ESG reporting transparency frameworks that increase company accountability and give investors accurate and consistent information to make decisions. This study illuminates the interconnected dynamics of sustainable finance, ESG factors, and Green Innovation, emphasizing the importance of holistic investment strategies that benefit individual investors and contribute to a more sustainable and prosperous economy.",294378373,0,26,,
10.1016/j.resconrec.2022.106571,Environment-Social-Governance Disclosures nexus between Financial Performance: A Sustainable Value Chain Approach,"Neha Saini, Anjuman Antil, Angappa Gunasekaran, Kunjana Malik, Suganya Balakumar","Resources, Conservation and Recycling",2022,(missing abstract),238432165,75,128,,
10.1016/j.ribaf.2024.102616,The effect of ESG divergence on the financial performance of Hong Kong-listed firms: an artificial neural network approach,"Louis T.W. Cheng, Tsun Se Cheong, Michal Wojewodzki, David Chui",Research in International Business and Finance,2024,(missing abstract),279230407,16,81,,
10.1016/j.eswa.2023.119726,ESG information extraction with cross-sectoral and multi-source adaptation based on domain-tuned language models,"Jaeyoung Lee, Misuk Kim",Expert systems with applications,2023,(missing abstract),254283620,38,15,,
10.1108/jefas-02-2024-0040,ESG and financial performance via uncertain mining technology: do Multilatinas contribute to the sustainability of the region?,"Carlos Alexánder Grajales, Katherine Albanés Uribe","Journal of economics finance and administrative science/Journal of economics, finance and administrative science",2024,"Purpose This paper proposes a methodology based on an uncertain mining technology that identifies the linguistic relationships of ESG and its components with a financial performance metric to help the sustainability diagnosis of a region, specifically Latin America. Design/methodology/approach First, based on a relevant dataset of companies in a region, a procedure is formulated whereby an uncertain mining technology extracts the mathematically significant linguistic relationships of ESG and its components with a financial performance metric. Second, a knowledge management process is designed based on the linguistic summaries obtained from the mining process. As a final step and drawing upon the two preceding processes, a diagrammatic system of signals is proposed for diagnosing the sustainability of the region as contributed by its companies. Findings After this methodology is instantiated on a group of Multilatinas, it is observed that their sustainability contributions to the region are limited and that none of the identified linguistic relationships between ESG and the financial performance metric are favorable for the region. Originality/value This is the first proposal of its kind and it can be applied to any region of the world to assess the financial performance of its companies regarding their ESG commitments. In addition, it enables the region to comprehensively monitor compliance with the 2030 SDG agenda.",273202005,4,19,,
10.1016/j.igd.2025.100299,Corporate sustainability and stock market dynamics: What challenges arise for future research?,"Javier Parra-Domínguez, Jairo Dote-Pardo",Innovation and Green Development,2025,(missing abstract),292435334,0,149,,
