DOI,Title,Authors,Journal,Year,Abstract,LitmapsId,Cited By,References,PubMedId,Tags
10.2139/ssrn.4842231,THE FUTURE OF MONEY MANAGEMENT: HARNESSING ARTIFICIAL INTELLIGENCE FOR PERSONAL FINANCIAL EMPOWERMENT,Ahmad Fauzi,Social Science Research Network,2024,"In an era of rapid technological advancement, the integration of artificial intelligence (AI) into personal financial management holds immense promise. Two critical areas emerge: personalized financial advice and predictive analytics for investments. AI-driven platforms analyze users' financial data, offering tailored recommendations for budgeting, saving, and debt management (Bahoo et al., 2024). Simultaneously, AI models predict market trends, assess risk factors, and recommend investment strategies, empowering investors to optimize their portfolios. However, responsible implementation is crucial, addressing ethical considerations such as transparency, privacy, and bias mitigation to ensure AI enhances financial well-being without compromising trust.",272569433,0,10,,ESG List
10.1109/icsses62373.2024.10561389,Unveiling the Future: Exploring Stock Price Prediction in the Finance Sector through Machine Learning and Deep Learning - A Comprehensive Bibliometric Analysis,"M. Sucharitha, Md. Shaik Amzad Basha, C. Prabhavathi, S. Christina, Obulesu Varikunta",2024 International Conference on Smart Systems for applications in Electrical Sciences (ICSSES),2024,"The investigation of predicting share prices is a captivating and beneficial area of study within the realm of economic research. precise projections and findings can potentially benefit shareholders by reducing the risk of making suboptimal investment selections. The objective of this investigation is to examine the present state of research pertaining to the prognostication of share price predictions through the utilization of Machine Learning (ML) and Deep Learning techniques. The present study examined the existing body of scientific works on methods involving DL and ML in the context of predicting the value of stocks. This study presents a comprehensive overview of research trends, methodologies, and applications in a particular field by conducting a bibliometric analysis of publications indexed in the Scopus database. Drawing from the presented data, recommendations for optimal methodologies can be formulated. The data was visually represented through the utilization of the R programming language and Vos Viewer software. The investigation additionally discerns the primary authors, institutions, and nations that are making contributions to this particular field of research. The outcomes of this investigation possess the potential to guide future research trajectories and offer significant perspectives for professionals and policymakers who are keen on utilizing machine learning and deep learning in the financial sector.",274129849,0,23,,ESG List
10.4018/979-8-3693-2346-5.ch008,Information Asymmetry and Greenwashing in the Green Bond Market,"G. Sreelekshmi, Nisha Sheen, Ajithakumari Vijayappan Nair Biju","Advances in logistics, operations, and management science book series",2024,"Disclosure and transparency are two critical components in the green financing sector, especially the green bond segment. Compared to green instruments like green credit, green bond issuances facilitate information dissemination and reduce information asymmetry. Still, concerns stemming from numerous macro-level and firm-level factors impede market advancement. Investors are restrained from green bond financing owing to a fear of potential greenwashing. The nascency of the market, resulting in inadequate disclosure regimes and measurement challenges, exacerbates the problem. Can we find a solution to tackle the dilemma of greenwashing and information asymmetry using emerging, sophisticated technologies? Assessing the major theoretical underpinnings, this chapter presents a comprehensive landscape of how technologies like distributed ledger technologies, blockchain, the internet of things, artificial intelligence, machine learning, and the like fit into the green debt market. While following a theoretical approach, collating research, and the green bond market developments, the authors initiate an investigation into how technology can manage disclosure biases. The assessment signifies the role of technology, specifically FinTech, blockchain, and AI technologies, in spotting greenwashing and information asymmetry.",274929523,0,41,,ESG List
10.4018/979-8-3693-3633-5.ch009,Protecting Investor Sentiment by Detecting Financial Fraud With the Help of ML and AI Applications,Anumita Chaudhury,"Advances in finance, accounting, and economics book series",2024,"Investors, in spite of their vigilant moves, often are observed to fall victim to financial fraud. There are several machine learning algorithms both supervised and unsupervised which exists and continue to serve the objective of detecting financial fraud like under supervised machine learning random forest, k-nearest neighbours (KNN), logistic regression and support vector machine (SVM) and unsupervised machine learning includes K-means and SOM (self-organizing map).AI will help in mitigating the impact of volatility in the financial market. There is a necessity to adopt new-age machine learning and Artificial Intelligence which will promptly process millions of data and also identify dubious patterns has become very crucial to evade the losses caused by fraudulent activities.",275008021,0,25,,ESG List
(missing DOI),International Journal of Research Publication and Reviews,"Pramila, Dr. Harsh Purohit",(missing journal),(missing year),"This study evaluates how artificial intelligence technologies (AIT) influence investment patterns and behavior. It's critical to comprehend how AI-driven tools and technology, like chatbots and robo-advisors, are affecting investors as they become more and more integrated into the process of making financial decisions. The purpose of this study is to use a structured empirical analysis to assess the relationship between investing behavior and patterns (IBP) and AI-tools and technology (AIT). Regression analysis is utilized in the study to anticipate investment behavior and patterns using AI technologies. The findings show a strong positive correlation, with AI tools accounting for 32.1% of the variation in investing patterns and behavior. The robustness of the results is further confirmed by the model's F-statistic. Investment behavior and patterns appear to be significantly impacted by AI technology, as indicated by the standardized beta coefficient of 0.567 (p < 0.000). These results highlight how AI is revolutionizing the investment sector. Financial institutions, legislators, and investors themselves will need to comprehend artificial intelligence's effects on investment behavior and trends as it develops. The study adds actual information on how AI technologies are changing investment behavior and patterns, which is a growing body of literature.",276301800,0,18,,ESG List
(missing DOI),Regulatory Framework and Standards for Adapting AI Systems: Interplay Between AI and Environmental Policies,"Sini Kuriakose, Yukti Monga",(missing journal),2024,(missing abstract),277006552,0,25,,ESG List
(missing DOI),Revolutionizing Financial Literacy Through Exploring Finfluencers' Intentions in Chatbot-Driven Financial Information Dissemination,"Annie Issac, R. Seranmadevi",Advances in business information systems and analytics book series,2024,"Financial literacy, a cornerstone for stability and empowerment in today's economic landscape, is set to be revolutionized. Finfluencers, individuals with significant financial acumen and a robust digital platform presence, are shaping audiences' financial attitudes and behaviors. This study introduces a conceptual framework based on the decomposed theory of planned behavior (DTPB) that holds the potential to transform how we understand and implement financial education. The unique aspect of this framework is its incorporation of Finfluencers as critical influencers in adopting AI chatbots for financial education. For instance, the model can predict the likelihood of a Finfluencer endorsing an AI chatbot for financial education based on their attitudes, subjective norms, and perceived behavioral control. Despite the widespread use of DTPB across various disciplines, a research gap exists in understanding the determinants of intention and behavior concerning adopting AI chatbots for financial education.",277282769,0,22,,ESG List
(missing DOI),Benefits and Challenges of Artificial Intelligence in FinTech,"Mufaro Dzingirai, Peterson K Ozili","Advances in logistics, operations, and management science book series",2024,"The proliferation of digital transactions in the financial sector when it comes to the 4th Industrial Revolution (41R) has allowed companies to use artificial intelligence. Worryingly, it appears that scant is known about artificial intelligence in the FinTech discourse especially when it comes to African economies. As such, this chapter aims to fill this gap by focusing on the role of artificial intelligence in FinTech. With the utilization of a comprehensive literature review methodology, it was observed that artificial intelligence is of utmost importance as it can augment accuracy, efficiency, fraud detection, effectiveness, human capabilities, and customer experiences; mitigate economic crimes; and accelerate regulatory compliance. Despite these benefits of artificial intelligence in FinTech, it brought to the fore some insurmountable challenges in the financial sector like ethical concerns, human rights issues, social engineering, and fraudulent data generation. The results of the current study are associated with theoretical and practical implications.",277392107,0,10,,ESG List
(missing DOI),AI in DeFi,"Swati Sharma, Jugal Kishor, Preeti Bhaskar, Rui Dias","Advances in finance, accounting, and economics book series",2024,"Over the past few years, the crypto industry has encountered various obstacles, including regulatory obstacles, unsuccessful exchanges, and projects that have collapsed. These challenges have paved the way for groundbreaking solutions that are revolutionising the realm of decentralised finance (DeFi). An emerging solution with immense potential is the incorporation of artificial intelligence (AI) into financial ecosystems. The integration of DeFi and AI presents a transformative collaboration that has the potential to revolutionise the industry, enhance its adaptability, and establish a solid groundwork for long-term sustainability. AI and DeFi have emerged as significant technological advancements in recent years, garnering widespread attention and adoption. Incorporating AI into DeFi offers a range of advantages, including automated decision-making, more accurate risk assessment, and enhanced user experiences. These benefits contribute to the continuous development of DeFi.",277516185,0,16,,ESG List
10.34706/de-2024-03-03,Integration of artificial intelligence technologies into financial sector information systems,И.В. Неволин,Цифровая экономика,2024,"Технологии искусственного интеллекта во многом базируются на больших данных, и, помимо вычислений, которые обеспечивают должную точность и робастность результатов, а также безопасность систем именно вопросы хранения, передачи и обработки больших данных притягивают к себе пристальное внимание исследователей и разработчиков. Причём работу с данными можно рассматривать на математическом уровне, но в данной работе это сделано на уровне архитектуры информационных систем. А именно, рассматривается вопрос о том, какие модули современных информационных систем в финансовой сфере используют технологии искусственного интеллекта и как они соотносятся с хранилищами и процессорами данных. Структурно работа построена так, что за описанием сфер применения искусственного интеллекта следует обзор изобретений по теме, затем анализируются значимые для предметной области стандарты и, наконец, дана общая архитектура информационной системы. Technology related to artificial intelligence is largely based on big data. In addition to computing issues, that ensure appropriate accuracy and robustness of results, as well as security issues, these are the issues of storing, transmitting and processing of big data that attract the close attention of researchers and developers. Though, data processing could be discussed at the mathematical level, this work treats processes at the level of the architecture of information systems. Namely, under investigation is a question modules constituting modern information systems in the financial sector, artificial intelligence involved in these modules, data storage and data processors. The work is structured as follows. First, the applications of artificial intelligence in finances are described. Second, a review of inventions on the topic is given. Third, the standards relevant to the subject area are analyzed and, finally, the general architecture of the information system is presented.",277901217,0,2,,ESG List
